gr,gi
SER MUITO ROMÂNTICO [EXCLAMAÇÃO],(+)ROMÂNTICO [EXCLAMAÇÃO]
SER MUITO ROMÂNTICO [EXCLAMAÇÃO],(+)ROMÂNTICO [EXCLAMAÇÃO]
ISSO IR MUITO RUDE [PONTO],(+)RUDE [PONTO]
SABER ISSO MUITO BEM [PONTO],(+)SABER DISSO [PONTO]
SABER MUITO BEM ISSO [PONTO],(+)SABER DISSO [PONTO]
SENTIR MUITO SAUDADE VOCÊ [PONTO],(+)SAUDADE VOCÊ [PONTO]
SINSENTIR MUITO POR AQUILO [PONTO],(+)SENTIR [PONTO]
EU SINSENTIR MUITO SEU AUSÊNCIA [PONTO],(+)SENTIR SAUDADE [PONTO]
EU SINSENTIR MUITO AUSÊNCIA ELE [PONTO],(+)SENTIR SAUDADE [PONTO]
SINSENTIR TANTO SEU AUSÊNCIA [PONTO],(+)SENTIR SAUDADE [PONTO]
SER MUITO SÉRIO [PONTO],(+)SÉRIO [PONTO]
MAIOR SHOW MEU VIDA EXPERIÊNCIA QUE IR SER MUITO BOA CONTAR RESTO VIDA PHIL FARGNOLI,(+)SHOW MINHA VIDA EXPERIÊNCIA (+)BOA CONTAR_FALAR SEMPRE VIDA PHIL FARGNOLI
SER MUITO SIMPLES [PONTO],(+)SIMPLES [PONTO]
ISSO SER MUITO SIMPLES [PONTO],(+)SIMPLES [PONTO]
SER MUITO SIMPLES [PONTO],(+)SIMPLES [PONTO]
ISSO SER MUITO SIMPLES [PONTO],(+)SIMPLES [PONTO]
IR MUITO SIMPLES [PONTO],(+)SIMPLES [PONTO]
SER MUITO SIMPLES [PONTO],(+)SIMPLES [PONTO]
MUITO SOLDADO MORRER AQUI [PONTO],(+)SOLDADO MORRER  AQUI [PONTO]
EU SOLUÇO MUITO [PONTO],(+)SOLUÇAR [PONTO]
EU ESTAR COM MUITO SONO [PONTO],(+)SONO [PONTO]
ESTAR COM MUITO SONO AGORA [PONTO],(+)SONO AGORA [PONTO]
SER MUITO SORTUDO [PONTO],(+)SORTE [PONTO]
EU IR MUITO SORTUDO [PONTO],(+)SORTE [PONTO]
EU IR MUITO SORTUDA [PONTO],(+)SORTE [PONTO]
EU IR MUITO SORTUDO [PONTO],(+)SORTE [PONTO]
EU IR MUITO SORTUDA [PONTO],(+)SORTE [PONTO]
SER MUITO SORTUDO [PONTO],(+)SORTUDO [PONTO]
EU ESTAR MUITO SOZINHO [PONTO],(+)SOZINHO [PONTO]
FICAR MUITO CHOCAR [PONTO],(+)SURPRESA [PONTO]
FICAR MUITO CHOCAR [PONTO],(+)SURPRESA [PONTO]
ESTAR MUITO SURPRESO [PONTO],(+)SURPRESA [PONTO]
SER MUITO TARDE AGORA [PONTO],(+)TARDE AGORA [PONTO]
IR LEVAR TEMPO [PONTO],(+)TEMPO [PONTO]
FAZER MUITO TEMPO [PONTO],(+)TEMPO [PONTO]
POUCO TEMPO DEPOIS RECEBER CONDECORAÇÃO OURO YOUTUBE NÚMERO INSCRITOS SEU CANAL [PONTO] 2017 DURANTE GRAVIDEZ KELLY APROVEITAR PARA EXPANDIR TEMÁTICA SEU CANAL ALTERAR NOME PARA CANAL KELLY KEY PASSAR CONTAR COM VÍDEO SOBRE GESTAÇÃO CUIDADOS COM BEBÊ CULINÁRIA FITNESS RELACIONAMENTO SEXO COM PARTICIPAÇÃO SEU MARIDO CUIDADOS ESTÉTICO ENTREVISTAS COM ESTETICISTAS RELACIONAR UNIVERSO FEMININO ALÉM TRADICIONAL VÍDEO SOBRE TREINAMENTO CONDICIONAMENTO FÍSICO [PONTO] 2018 ATINGIR 1 MILHÃO INSCRITOS SEU CANAL [PONTO],(+)TEMPO DEPOIS RECEBER CONDECORAÇÃO OURO YOUTUBE NÚMERO INSCRITO SEU CANAL_TELEVISÃO [PONTO] ANO_DATA 2017 DURANTE GRAVIDEZ KELLY APROVEITAR_UTILIZAR EXPANDIR TEMÁTICA SEU CANAL ALTERAR NOME CANAL KELLY KEY CONTAR_FALAR VÍDEO SOBRE_ASSUNTO GESTAÇÃO CUIDADO BEBÊ CULINÁRIA FITNES RELACIONAMENTO SEXO PARTICIPAÇÃO SEU MARIDO CUIDADO ESTÉTICO ENTREVISTA ESTETICISTA RELACIONADO UNIVERSO FEMININO ALÉM TRADICIONAL VÍDEO TEMA TREINAMENTO CONDICIONAMENTO FÍSICO [PONTO] ANO_DATA 2018 ATINGIR_ALCANÇAR 1 MILHÃO INSCRITO SEU CANAL_TELEVISÃO [PONTO]
POR MUITO TEMPO TRABALHO COM TIPOGRAFIA COMO ATIVIDADE PROJETUAL INDUSTRIAL GRÁFICA SER LIMITAR TIPOGRAFIA TÉCNICO OU DESIGNER ESPECIALIZAR [PONTO],(+)TEMPO TRABALHO TIPOGRAFIA ATIVIDADE PROJETUAL INDUSTRIAL GRÁFICA ESTREITO TIPÓGRAFO TÉCNICO DESIGNER ESPECIALIZADO [PONTO]
EU SER MUITO TÍMIDO [PONTO],(+)TÍMIDO [PONTO]
SER MUITO TÍMIDO [PONTO],(+)TÍMIDO [PONTO]
EU SER MUITO TÍMIDO [PONTO],(+)TÍMIDO [PONTO]
TRABALHO MUITO [PONTO],(+)TRABALHAR [PONTO]
EU TRABALHAR MUITO HOJE [PONTO],(+)TRABALHAR HOJE [PONTO]
TRABALHAR MUITO HOJE [PONTO],(+)TRABALHAR HOJE [PONTO]
ESTAR MUITO TRISTE [PONTO],(+)TRISTE [PONTO]
EU ESTAR MUITO TRISTE [PONTO],(+)TRISTE [PONTO]
ME SINSENTIR MUITO TRISTE [PONTO],(+)TRISTE [PONTO]
SINSENTIR MUITO TRISTE [PONTO],(+)TRISTE [PONTO]
ISSO SER MUITO TRISTE [PONTO],(+)TRISTE [PONTO]
IR MUITO ÚTIL [PONTO],(+)ÚTIL [PONTO]
SER MUITO ÚTIL ANÁLISE CIRCUITO POTENCIAL REFERÊNCIA 0 VOLT NÃO_PRECISAR ESTAR INFINITO PODER ESTE CASO SER PONTO REFERÊNCIA ESCOLHER LIVREMENTE DENTRO CIRCUITO [PONTO],(+)ÚTIL ANÁLISE CIRCUITO POTENCIAL REFERÊNCIA 0 VOLT NÃO_PRECISAR INFINITO PODER_POSSIBILIDADE CASO_EVENTO PONTO_LOCAL REFERÊNCIA ESCOLHER LIVRE DENTRO CIRCUITO [PONTO]
SER MAIS VELHO [PONTO],(+)VELHO [PONTO]
SER MAIS VELHO QUE TEU IRMÃO [PONTO],(+)VELHO DO_QUE TEU IRMÃO [PONTO]
HAVER MUITO VENTO [PONTO],(+)VENTO [PONTO]
ESTAR VENTANDO MUITO LÁ FORA [INTERROGAÇÃO],(+)VENTO LÁ FORA [INTERROGAÇÃO]
ESTAR MUITO ENVERGONHAR [PONTO],(+)VERGONHA [PONTO]
MUITO VEZ CONSIDERAR IDEIA MAIS VERDADEIRO APENAS PORQUE HAVER QUALQUER COISA MUITO BELO DIVINO RITMO FORMA MÉTRICA SEU ENUNCIAR [PONTO] NÃO SER DIVERTIR NOTAR QUE FILÓSOFO MAIS SÉRIO POR MAIS RIGOROSO QUE SER SEU BUSCA CERTEZA CITAR FREQUENTEMENTE PALAVRA POETA PARA DAR SEUS IDEIA MAIS FORÇA CREDIBILIDADE [INTERROGAÇÃO] ENTANTO SER MAIS PERIGOSO PARA VERDADE SE POETA CONCORDAR COM ELA QUE SE ELE CONTRADIZER [EXCLAMAÇÃO] PORQUE COMO FALAR HOMERO MUITO MENTIRA CONTAR POETA [PONTO] 84,(+)VEZ CONSIDERAR IDEIA MAIS_QUANTIDADE VERDADEIRA APENAS PORQUE TER QUALQUER COISA (+)BELO DIVINO RITMO FORMA MÉTRICA SEU ENUNCIADO [PONTO] NÃO_TER ENGRAÇADO NOTAR FILÓSOFO MAIS_QUANTIDADE SÉRIO MAIS_QUANTIDADE RIGOROSO SUA BUSCA CERTEZA CITAR FREQUENTEMENTE PALAVRA POETA 1S_DAR_2S SUA IDEIA MAIS_QUANTIDADE FORÇA CREDIBILIDADE [INTERROGAÇÃO] MAIS_QUANTIDADE PERIGOSO VERDADE POETA CONCORDAR ELA ELE CONTRADIZER [EXCLAMAÇÃO] IGUAL DIZER HOMERO (+)MENTIRA CONTAR_FALAR POETA 84 [PONTO]
ESTAR MORRER VONTADE XÍCARA CAFÉ [PONTO],(+)VONTADE CAFÉ [PONTO]
ESTAR MORRER VONTADE TOMAR CAFEZINHO [PONTO],(+)VONTADE CAFÉ [PONTO]
EU ESTAR MUITO ZANGAR [PONTO],(+)ZANGADO [PONTO]
ESTAR MUITO ZANGAR [PONTO],(+)ZANGADO [PONTO]
ESTAR DEMASIADO ESCURO [PONTO],(++)ESCURO [PONTO]
SER MUITO MUITO IMPORTANTE [PONTO],(++)IMPORTANTE [PONTO]
0 NOME FREGUESIA NÃO SE ESCREVER SEMPRE MESMO MODO [PONTO],0 NOME FREGUESIA NÃO ESCREVER_PAPEL SEMPRE MESMO MODO [PONTO]
OU SER COM 005 EXISTIR 5 CHANCE SE REJEITAR HIPÓTESE NULO CASO ELE SER VERDADEIRO [PONTO],005 TER 5 PORCENTAGEM CHANCE REJEITAR HIPÓTESE NULA DELA VERDADEIRA [PONTO]
02 MARÇO 1977 LÍBIA PASSAR SE CHAMAR JAMAHIRIYA ÁRABE POPULAR SOCIALISTA JAMAHIRIYA SER NEOLOGISMO QUE SIGNIFICAR ESTADO MASSAS [PONTO],02 MARÇO 1977 LÍBIA_PAÍS COMEÇAR CHAMAR_NOMEAR JAMAHIRIYA ÁRABE POPULAR SOCIALISTA JAMAHIRIYA NEOLOGISMO QUE SIGNIFICAR ESTADO MASSA [PONTO]
03 OUTUBRO 1996 OCORRER PRIMEIRA ELEIÇÃO PARA PODER_EXECUTIVO LEGISLATIVO ONDE MESMO TOMAR POSSE 1º JANEIRO 1997 FICAR ASSIM CONSTITUÍDAPREFEITO NÉVIO ANTONIO MORTARI VICE-PREFEITO ALDAIR ANTONIO RIGO [PONTO],03 OUTUBRO 1996 PRIMEIRA ELEIÇÃO PODER_EXECUTIVO PODER_LEGISLATIVO POSSE 1 JANEIRO 1997 CONSTITUIR PREFEITO NÉVIO ANTONIO MORTARI VICE PREFEITO ALDAIR ANTONIO RIGO [PONTO]
IR SER DESAFIO [PONTO],1  DESAFIO [PONTO]
1 ABRIL 1949 PROVÍNCIA TERRA NOVAENTROU CONFEDERAR COMPLETO COM CANADÁ POLICIAL RANGERS NEWFOUNDLAND RESPONSÁVEL SEGURANÇA PROVÍNCIA IR INCLUIR RCMP [PONTO],1 ABRIL 1949 PROVÍNCIA TERRA NOVA ENTROU CONFEDERAÇÃO COMPLETAR JUNTO CANADÁ_PAÍS POLÍCIA RANGERS NEWFOUNDLAND RESPONSÁVEL SEGURANÇA PROVÍNCIA INCORPORAR RCMP [PONTO]
CERVEJA POR_FAVOR [PONTO],1 CERVEJA_BEBIDA FAVOR [PONTO]
ENGLOBAR PENSADOR OBJETO [PONTO] ATÉ MESMO INTELIGÊNCIA AUTO_CONTEMPLANTE NOESIS NOUS DEVER CONTER DUALIDADE [PONTO] DEPOIS TER CHEGAR BEM NÃO ADICIONAR NENHUM PENSAMENTO MAIS QUALQUER ADIÇÃO PROPORÇÃO AQUELE ADIÇÃO VOCÊ ADICIONAR DEFICIÊNCIA [PONTO] 3º VÍRGULA  VÍRGULA 8 PLOTINO NEGAR SENCIÊNCIA CONSCIÊNCIA SI_OU QUALQUER OUTRO AÇÃO ERGON PARA UM 5º [PONTO]  VÍRGULA 11 [PONTO] VEZ ISSO SE NÓS INSISTIR DESCREVÊ-LO AINDA MAIS NÓS TER QUE CHAMAR PURO POTENCIALIDADE DYNAMIS OU SEM QUAL NADA PODER EXISTIR [PONTO],1 ENGLOBAR PENSADOR OBJETO [PONTO] INTELIGÊNCIA AUTO CONTEMPLAR NOESIS NOUS DEVER_OBRIGAÇÃO CONTER DUALIDADE DEPOIS BEM_BONDADE NÃO_ACRESCENTAR NENHUM PENSAMENTO MAIS_QUANTIDADE QUALQUER ADIÇÃO PROPORÇÃO ADIÇÃO VOCÊ ADICIONAR_ACRESCENTAR DEFICIÊNCIA TERCEIRO_ORSINAL 8.11 [PONTO] PLOTINO NEGAR SENCIÊNCIA CONSCIÊNCIA SE OU QUALQUER OUTRO AÇÃO ERGON 1 QUINTO 6.6 [PONTO] CONTRÁRIO_OPOSTO SE NÓS INSISTIR DESCREVER MAIS_QUANTIDADE NÓS NOME PURA POTENCIALIDADE DYNAMIS NÃO_PODER NADA EXISTIR [PONTO]
SER SÓ GATO [PONTO],1 GATO [PONTO]
SER HORA [PONTO],1 HORA [PONTO]
1º JANEIRO 1936 FUNÇÃO DÖNITZ IR REAVALIAR MUDAR PARA FÜHRER DAR UNTERSEEBOOTE FDU CHEFE SUBMARINOS [PONTO],1 JANEIRO 1936 DÖNITZ AVALIAR DE_NOVO MUDAR FÜHRER DAR UNTERSEEBOOTE FDU CHEFE SUBMARINO [PONTO]
LÍNGUA NUNCA SER BASTANTE [PONTO],1 LÍNGUA_LINGUA NUNCA BASTANTE [PONTO]
01 MARÇO 1963 MUNICÍPIO SER INSTALAR 17 DEZEMBRO 1975 COM ÁREA TERRITORIAL 61 QUILÔMETRO TER SEU DENOMINAR ALTERAR PARA CACHOEIRA PRATA APÓS CONTROVERSO PLEBISCITO NÃO SE SABER CERTO POR QUÊ TROCA QUEM TER IDEALIZAR [PONTO],1 MARÇO 1963 MUNICÍPIO INSTALADO 17 DEZEMBRO 1975 TER ÁREA TERRITORIAL 61 QUILÔMETRO_QUADRADO TER UA DENOMINAÇÃO ALTERADA CACHOEIRA_PRATA_CIDADE APÓS CONTROVERSO PLEBISCITO NÃO_SABER CERTO PORQUE TROCAR QUEM TER IDEALIZAR [PONTO]
1 MARÇO 1821 ALGUM INTELECTUAL OUTRO CONSCIENTE IMPORTÂNCIA ECONÓMICA S [PONTO] MIGUEL MOVER IDEIA SEPARATISTA PARA COM TUTELA NÃO DESEJAR ILHA TERCEIRA CAPITÃO GENERAL FAZER ACONTECER REVOLTA QUAL RESULTAR GOVERNO INTERINO DESIGNAR POR JUNTA GOVERNATIVA LOGO RECONHECER PODER CENTRAL QUE ACATAR RECLAMAÇÃO APRESENTAR QUE MANDAR FAZER 1822 DIVISÃO ARQUIPÉLAGO 3 COMARCA COM GOVERNO INDEPENDENTE GERIR POR CORREGEDOR COM PODER ALARGAR [PONTO],1 MARÇO ANO_DATA 1821 INTELECTUAL OUTRO CONSCIENTE IMPORTÂNCIA ECONÔMICA  [PONTO] MIGUEL MOVER IDEIA SEPARATISTA TUTELA NÃO_DESEJAR ILHA TERCEIRO_ORDINAL CAPITÃO_MILITAR GENERAL FAZER ACONTECER REVOLTA QUAL RESULTAR GOVERNO INTERINO DESIGNAR JUNTA GOVERNO LOGO RECONHECER PODER CENTRAL QUE ACATAR RECLAMAR APRESENTAR_MOSTRAR QUE MANDAR FAZER ANO_DATA 1822 DIVIDIR ARQUIPÉLAGO 3 COMARCA GOVERNO INDEPENDENTE GERIR CORREGEDOR PODER ALARGAR [PONTO]
IR NUM MINUTO [PONTO],1 MINUTO EU IR [PONTO]
MINUTO TER 60 SEGUNDOS [PONTO],1 MINUTO TER 60 SEGUNDO [PONTO]
SER NOVO [PONTO] OUTRO SER VELHO [PONTO],1 NOVO_RECENTE [PONTO] OUTRO VELHO [PONTO]
VEZ LADRÃO SEMPRE LADRÃO [PONTO],1 VEZ LADRÃO SEMPRE LADRÃO [PONTO]
10 ANO DEPOIS FÓRUM MUNDIAL EDUCAÇÃO 2000 REALIZAR DAKAR SENEGAL GOVERNO MEMBRO SE COMPROMETER ALCANÇAR EDUCAR BÁSICO PARA TODO ATÉ 2015 [PONTO],10 ANO_DATA DEPOIS FÓRUM MUNDIAL EDUCAÇÃO_ENSINO 2000 REALIZAR DAKAR SENEGAL GOVERNO MEMBRO COMPROMETER ALCANÇAR EDUCAÇÃO BÁSICA TODO ATÉ 2015 [PONTO]
10 ANO APÓS FUNDAR BELÉM PEDRO TEIXEIRA JUNTO FREI CRISTÓVÃO 26 SOLDADO NUMEROSO ÍNDIO EXPLORAR RIO AMAZONAS QUANDO SE DEPARAR COM ALDEIA TUPULIÇUS FOZ RIO TAPAJÓS ATRACAR ALI [PONTO],10 ANO_DATA DEPOIS FUNDAÇÃO BELÉM_CIDADE PEDRO TEIXEIRA JUNTO FREI CRISTÓVÃO 26 SOLDADO VÁRIOS ÍNDIO EXPLORAR RIO AMAZONAS_ESTADO ENCONTRAR ALDEIA TUPULIÇUS RIO TAPAJÓS ATRACAR ALI [PONTO]
10 ANO MAIS TARDE PORÉM QUANDO IR PUBLICAR 1955 POESIAS COMPLETO QUANDO JÁ HAVER FALECER PRESIDENTE VARGAS COMEÇAR CONSAGRAR ANDRADE COMO PRINCIPAL VALOR CULTURAL BRASIL [PONTO],10 ANO_DATA DEPOIS PUBLICADA ANO_DATA 1955 TER POESIA COMPLETA MORTE PRESIDENTE HOMEM VARGA COMEÇAR CONSAGRAÇÃO ANDRADE IGUAL PRINCIPAL VALOR CULTURAL BRASIL [PONTO]
10 DIVIDIR POR 5 SER IGUAL 2 [PONTO],10 DIVIDIDO 5 IGUAL 2 [PONTO]
10 FEVEREIRO 2013 CURIOSITY OBTER PRIMEIRAS AMOSTRA ROCHA APROFUNDAR JÁ RETIRADAS OUTRO CORPO PLANETÁRIO UTILIZAR SEU BROCA EMBARCAR [PONTO],10 FEVEREIRO 2013 CURIOSITY TER PRIMEIRA AMOSTRA ROCHA PROFUNDA JÁ RETIRAR OUTRO CORPO PLANETA UTILIZAR BROCA EMBARCADA [PONTO]
IR PARA CASA 10 [PONTO],10 HORA IR CASA [PONTO]
10 MEMBRO SER ELEITOS PARA REPRESENTAR CADA PROVÍNCIA CONSELHO NACIONAL PROVÍNCIAS INDEPENDENTEMENTE POPULAÇÃO PROVÍNCIA [PONTO],10 MEMBRO ELEITO REPRESENTAR CADA PROVÍNCIA CONSELHO_GRUPO NACIONAL PROVÍNCIA INDEPENDENTE POPULAÇÃO PROVÍNCIA [PONTO]
10 MENOS 2 SER IGUAL 8 [PONTO],10 MENOS 2 IGUAL 8 [PONTO]
10 OUTUBRO 1985 GOVERNO PRESIDENTE JOSÉ SARNEY ELABORAR PLANO NACIONAL REFORMA AGRÁRIA PNRA PREVER ESTATUTO TERRA [PONTO],10 OUTUBRO ANO_DATA 1985 GOVERNO PRESIDENTE JOSÉ SARNEY ELABORAR PLANO_PROJETO NACIONAL REFORMA AGRÁRIA PNRA PREVISTO ESTATUTO TERRA [PONTO]
10000 IENE SER SUFICIENTE [INTERROGAÇÃO],10000 IENE SUFICIENTE [INTERROGAÇÃO]
11 ANO APÓS CRIAÇÃO POVOADO GOVERNADOR ESTADO JOSÉ MAGALHÃES PINTO EXPEDIR DOCUMENTO DECRETO 0 1 VÍRGULA 058 CRIAR MUNICÍPIO MANTENA [PONTO],11 ANO_DATA DEPOIS CRIAÇÃO POVO GOVERNADOR ESTADO JOSÉ MAGALHÃES PINTO EXPEDIR DOCUMENTO DECRETO NÚMERO 1.058 CRIAR_FUNDAR MUNICÍPIO MANTENA [PONTO]
DÉCIMO PRIMEIRO CONGRESSO IR CONVOCAR COM APENAS 2 SEMANA ANTECEDÊNCIA PARA DECIDIR SE IR OU NÃO_APOIAR MÁRIO SOARES CONTRA FREITAS AMARAL [PONTO] MÁRIO SOARES IR APOIAR GANHAR COM LIGEIRA MARGEM [PONTO],11 CONGRESSO CONVIDAR APENAS 2 SEMANA ANTECEDÊNCIA DECIDIR IR NÃO_APOIAR MÁRIO SOAR CONTRA_CONTRÁRIO FREITA AMARAL [PONTO] MÁRIO SOAR APOIAR_APROVAR GANHAR LIGEIRA MARGEM_LIMITE [PONTO]
11 DEZEMBRO 2008 IR INAUGURAR MONUMENTO SÃO PEDRO CENTRO GERMÂNICO MISSIONEIRO 2 IMPORTANTE ATRAÇÃO PARA DESENVOLVIMENTO TURISMO MUNICÍPIO [PONTO],11 DEZEMBRO 2008 INAUGURAR MONUMENTO SANTO PEDRO CENTRO_LOCAL GERMÂNICO MISSIONEIRO 2 IMPORTANTE ATRAÇÃO_ENTRETENIMENTO DESENVOLVIMENTO TURISMO MUNICÍPIO [PONTO]
JÁ SER 11 HORA [PONTO],11 HORA [PONTO]
11 SETEMBRO 2015 DIREÇÃO NACIONAL MST DIVULGAR SEU RESOLUÇÃO JUNTAR-SE FRENTE BRASIL POPULAR TODO INICIATIVA LUTA CLASSE OPERÁRIO BRASILEIRO DEFESA SEUS DIREITO MOTIVO NACIONAL [PONTO] TEXTO LIDERANÇA MST RECONHECER EXISTÊNCIA CRISE ECONÔMICO MUNDIAL MAS NÃO ADMITIR QUE OPERÁRIO OPERÁRIO PAGAR ESSE CONTA MANIFESTAR SEU DESACORDO RELAÇÃO POLÍTICA ECONÔMICO GOVERNO DILMA ROUSSEFF [PONTO],11 SETEMBRO ANO_DATA 2015 DIREÇÃO NACIONAL MST DIVULGAR RESOLUÇÃO JUNTAR_UNIR FRENTE BRASIL_PAÍS POPULAR TODA INICIAR LUTA CLASSE_GRUPO TRABALHADORA BRASIL_PAÍS DEFESA DIREITO_LEI CAUSA NACIONAL [PONTO] TEXTO LIDERA MST RECONHECER EXISTÊNCIA CRISE_ECONÔMICA MUNDIAL NÃO_ADMITIR TRABALHADOR HOMEM MULHER PAGAR CONTA_PAGAR MANIFESTAR DESACORDO RELAÇÃO_RELATAR POLÍTICA ECONÔMICA GOVERNO DILMA ROUSSEFF [PONTO]
11º VIR VENCER PARTIDA CAMPEONATO SEU TORCIDA COMEMORAR GRITAR ÉGUA VERMELHA NUNCA IR MORRER [PONTO],11 VENCER CAMPEONATO TORCIDA COMEMORAÇÃO GRITAR ÉGUA VERMELHA NUNCA MORRER [PONTO]
1128 500º [PONTO] TERESA MÃE 500º [PONTO] AFONSO HENRIQUES NOMEAR UM CARTA COUTO POVOAÇÃO FRÁGUAS FRÁVEGAS QUE POR MUITO TEMPO FICAR CHAMAR-SE COUTO FRÁVEGAS [PONTO] BARRELAS ATUAL VILA NOVA PAIVA SEDE CONCELHO TAMBÉM FAZER PARTE ESTE ÁREA [PONTO],1128 TERESA MÃE DOM_TÍTULO AFONSO HENRIQUE NOME CARTA COUTO POVOAÇÃO FRÁGUA FRÁVEGA QUE MUITO TEMPO NOME COUTO FRÁVEGAS [PONTO] BARRELAS ATUAL VILA NOVO_RECENTE PAIVA SEDE CONCELHO TAMBÉM FAZER PARTE DESTA ÁREA [PONTO]
12 AGOSTO 1816 500º [PONTO] JOÃO JÁ SOBERANO REINO UNIDO POR DECRETO CRIAR ESCOLA REAL CIÊNCIAS ARTES OFÍCIOS SOB ORIENTAÇÃO LEBRETON MEMBRO MISSÃO ARTÍSTICA FRANCÊS SER IMPLANTAR OFICIALIZADO EDUCAR ARTÍSTICO BRASIL [PONTO],12 AGOSTO 1816 DOM JOÃO JÁ SOBERANO REINO_UNIDO_PAÍS DECRETO CRIAR_FUNDAR ESCOLA REAL CIÊNCIA ARTE OFÍCIO TER ORIENTAR LEBRETON MEMBRO_GRUPO MISSÃO ARTÍSTICA FRANÇA IMPLANTAR OFICIALMENTE EDUCAÇÃO_ENSINO ARTÍSTICA BRASIL_PAÍS [PONTO]
12 JULHO POUCO MÊS ANTES INÍCIO SEGUNDA GUERRA MUNDIAL EUROPA SZILÁRD WIGNER VISITAR EINSTEIN EXPLICAR SOBRE POSSIBILIDADE BOMBA ATÔMICO POR MEIO EXPERIMENTO COM URÂNIO FISSÃO ALÉM CÁLCULO INDICAR REAÇÃO CADEIA [PONTO],12 JULHO POUCO MÊS ANTES_ANTERIOR INICIAR SEGUNDA_GUERRA_MUNDIAL EUROPA SZILÁRD WIGNER VISITAR EINSTEIN EXPLICAR SOBRE_ASSUNTO POSSIBILIDADE BOMBA ATÔMICA MEIO_MÉTODO EXPERIMENTO URÂNIO FISSÃO ALÉM CÁLCULO INDICAR_MOSTAR REAÇÃO CADEIA [PONTO]
12 PERGUNTA FAZER RELATOR SABATINA SENADOR EDUARDO BRAGA 10 IR CIDADÃO QUE ENVIAR POR MEIO PORTAL [PONTO],12 PERGUNTAR RELATOR SABATINA SENADOR EDUARDO BRAGA 10 CIDADÃO ENVIAR MEIO_MÉTODO PORTAL [PONTO]
12 SETEMBRO 1939 14 ANO MÃE STELLA IR INICIAR POR MÃE SENHORA RECEBER ORUKÓ NOME ODÉ KAYODÊ [PONTO] MÃE STELLA CONTA QUE QUANDO IR REALIZAR SEU INICIAR ELA NÃO PENSAR NADA NÃO_TER NOÇÃO QUE ESTAR ACONTECER,12 SETEMBRO ANO_DATA 1939 14 IDADE MÃE STELLA INICIAR MÃE SENHORA RECEBER ORUKÓ NOME ODÉ KAYODÊ [PONTO] MÃE STELLA CONTAR_FALAR QUE QUANDO REALIZAR SUA INICIAR ELA NÃO_PENSAR NADA NÃO_TER  NOÇÃO QUE ACONTECER [PONTO]
12 BADALAR DIA 31 DEZEMBRO FICAR CÉU ILUMINAR COM FOGO COR ESPERANÇA ANO QUE SE ADIVINHA QUE NÃO PODER COMEÇAR MELHOR FORMA FONTE TURISMO MADEIRA [PONTO],12 SINO DIA 31 DEZEMBRO CÉU CLARO_CLAREZA FOGO COR ESPERANÇA ANO_DATA ADIVINHAR NÃO_PODER COMEÇAR MELHOR FONTE_ORIGEM TURISMO MADEIRA [PONTO]
1226 ORDEM TEUTÔNICA CONQUISTAR EVANGELIZAR PARTE PRÚSSIA CUJO POPULAÇÃO IR DIZIMAR POR AQUELES CAVALEIRO QUE HAVER SER CONVIDADOS ENTRAR POLÔNIA POR CONRADO MASÓVIA DUQUE POLONÊS [PONTO],1226 ORDEM TEUTÔNICA CONQUISTAR EVANGELIZAR RÚSSIA_PAÍS POPULAÇÃO DIZIMADA AQUELE CAVALEIRO CONVIDADO ENTRAR_INGRESSAR POLÔNIA_PAÍS CONRADO MASÓVIA DUQUE POLONÊS [PONTO]
13 CASA IR DESTRUIR [PONTO],13 CASA DESTRUIR [PONTO]
13 PESSOA ESTAR FERIR [PONTO],13 PESSOA FERIDA [PONTO]
13 PESSOA FICAR FERIR [PONTO],13 PESSOA FERIDA [PONTO]
13 PESSOA MORRER [PONTO],13 PESSOA MORRER [PONTO]
MAS PARTIR 1300 IMPÉRIO COMEÇAR PERDER TERRITÓRIO TODO SEUS FRONTEIRO [PONTO],1300 IMPÉRIO COMEÇAR PERDER TERRITÓRIO TODA SUA FRONTEIRA [PONTO]
135 ANO MAIS TARDE CAPELA IR TRANSFORMAR IGREJA [PONTO],135 ANO_DATA DEPOIS CAPELA_IGREJA TRANSFORMAR IGREJA [PONTO]
1388 CIDADE NICE SER COLOCAR SOB PROTECÇÃO CONDADO SABOIA PACTO QUE CIDADE NUNCA SER ENTREGAR FRANCÊS [PONTO],1388 CIDADE NICE PROTECÇÃO CONDADO SABOIA PACTO CIDADE NUNCA ENTREGAR FRANCÊS [PONTO]
ENTRETANTO 14 ABRIL PROCURADORIA NOVA YORK INFORMAR QUE APENAS FOTO IR RETIRADAS SITE INTERPOL MAS QUE PEDIR PRISÃO AMBOS NÃO_IR REVOGAR [PONTO],14 ABRIL PROCURADORIA NOVA_YORK_CIDADE INFORMAR APENAS FOTO RETIRAR SITE INTERPOL 1S_PEDIR_2S PRISÃO AMBOS NÃO_REVOGAR [PONTO]
